Date,BTC_hist_var,ETH_hist_var,SNT_hist_var,EUR_hist_var,BTC_model_var,ETH_model_var,SNT_model_var,EUR_model_var
2023-12-11,-0.0500828658683609,-0.06535978552385352,-0.0795215141560296,-0.007935709055561343,-0.074376661491212,-0.09212674593251238,-0.09137375172144245,-0.007378269611428937
2023-12-12,-0.05005427825818527,-0.06532479741292742,-0.08009970431577011,-0.00793511460367058,-0.03709865097296386,-0.04615847643676324,-0.08618155117787707,-0.007467880263525306
2023-12-13,-0.05059744285152232,-0.06528980930200134,-0.08009746727219855,-0.007934520151779817,-0.023889907529994404,-0.02945055104222613,-0.09459160657238337,-0.007183797526251723
2023-12-14,-0.05056885524134669,-0.06528896769777467,-0.08006546987685582,-0.007934198866489819,-0.020445270445916867,-0.026204974897188607,-0.09149709988360692,-0.006693391219992319
2023-12-15,-0.05054026763117105,-0.06528812609354802,-0.0800334724815131,-0.007945220285813563,-0.06246698414933914,-0.08079483895312699,-0.08627002698560968,-0.0064757541466320305
2023-12-16,-0.05051168002099542,-0.06528728448932135,-0.08000147508617039,-0.0079446258339228,-0.0352793794722191,-0.04227133090047289,-0.08193697077588544,-0.008610596621927228
2023-12-17,-0.05048309241081979,-0.06528644288509469,-0.07996947769082767,-0.007944031382032035,-0.05056839711749374,-0.06185757934034282,-0.09502930407198809,-0.007162438240329315
2023-12-18,-0.050454504800644145,-0.06528560128086802,-0.07993748029548495,-0.007943436930141271,-0.042504798287473236,-0.054159769501591765,-0.08856088400581694,-0.00755427335782581
2023-12-19,-0.05042591719046852,-0.06528475967664135,-0.07990548290014222,-0.007942842478250509,-0.03890887254686852,-0.04871958894530191,-0.08730521532235848,-0.006715615543982587
2023-12-20,-0.05039732958029288,-0.0652839180724147,-0.0798734855047995,-0.007942248026359745,-0.028150936639291503,-0.03681259648864622,-0.08527369668980075,-0.007261971254997869
2023-12-21,-0.050368741970117245,-0.06528307646818803,-0.07984148810945679,-0.007941653574468981,-0.03675141089121892,-0.04479193497298669,-0.09283037760716152,-0.00740734019248902
2023-12-22,-0.050340154359941616,-0.06528223486396137,-0.07980949071411407,-0.007941059122578217,-0.028723496601173994,-0.037287680510020516,-0.09006364384645,-0.007291599947792112
2023-12-23,-0.050311566749765974,-0.0652813932597347,-0.07977749331877135,-0.007940464670687453,-0.039231690605458766,-0.04839962773749275,-0.09376225084191377,-0.00743377953665521
2023-12-24,-0.050282979139590345,-0.06528055165550803,-0.07974549592342862,-0.007939870218796689,-0.05007726857079244,-0.06172175163454818,-0.09060035538129675,-0.007165647493558248
2023-12-25,-0.05025439152941471,-0.06527971005128137,-0.0797134985280859,-0.007939275766905925,-0.02777038363600158,-0.03392310484693141,-0.08950806328018542,-0.007534527890911352
2023-12-26,-0.05022580391923907,-0.0652788684470547,-0.0796815011327432,-0.007938681315015163,-0.04364604376247077,-0.05405125590491004,-0.09059085073526503,-0.007391752726934817
2023-12-27,-0.050197216309063444,-0.06527802684282805,-0.07964950373740047,-0.007938086863124399,-0.027997286410769488,-0.0340960469234059,-0.09327544804254549,-0.007392283378909041
2023-12-28,-0.0501686286988878,-0.06527718523860138,-0.07961750634205775,-0.007937492411233635,-0.045461777354056175,-0.057825351688085294,-0.09282045741655175,-0.007557924301795774
2023-12-29,-0.05014004108871217,-0.0652763436343747,-0.07958550894671503,-0.00793689795934287,-0.044629180942857956,-0.05647980746331459,-0.08303171488388372,-0.007887176680072834
2023-12-30,-0.05011145347853654,-0.06527550203014805,-0.0795535115513723,-0.007936303507452107,-0.02206361293159307,-0.025338202352241712,-0.09503341190001315,-0.007522524955667162
2023-12-31,-0.0500828658683609,-0.06527466042592138,-0.0795215141560296,-0.007935709055561343,-0.044892509898479815,-0.05439488019582387,-0.09621652644098613,-0.007746108436626058
2024-01-01,-0.05005427825818527,-0.06527381882169472,-0.07948951676068687,-0.00793511460367058,-0.0281466690333583,-0.03595591472351946,-0.08912736436876907,-0.007752396551488674
2024-01-02,-0.050025690648009644,-0.06527297721746804,-0.07945751936534413,-0.007934520151779817,-0.05433619581416856,-0.0692458502710721,-0.08441285014659457,-0.007891059193388275
2024-01-03,-0.05000938009063586,-0.06525286524292169,-0.0794047943914122,-0.007934198866489819,-0.0777655264721174,-0.09845091546224638,-0.08115280491801312,-0.007581681069334948
2024-01-04,-0.04999306953326207,-0.06523275326837535,-0.0800334724815131,-0.007933877581199822,-0.02362992906649098,-0.029110327927728982,-0.08632259407759375,-0.006778254960114865
2024-01-05,-0.049976758975888276,-0.06528728448932135,-0.08000147508617039,-0.007933556295909826,-0.058749715467621415,-0.07253415064447073,-0.09741811080085724,-0.006923679323003742
2024-01-06,-0.049960448418514485,-0.06528644288509469,-0.07996947769082767,-0.007933235010619828,-0.04018876556012899,-0.05425181685754427,-0.07921865170638528,-0.007650871506077514
2024-01-07,-0.0499441378611407,-0.06528560128086802,-0.07993748029548495,-0.00793291372532983,-0.06212864058871766,-0.07654748617123788,-0.0877130317796097,-0.0069928040047935874
2024-01-08,-0.049927827303766915,-0.06528475967664135,-0.07990548290014222,-0.007932592440039833,-0.026073272744746395,-0.034207463615051434,-0.08593111448108041,-0.00725944011253813
2024-01-09,-0.049911516746393124,-0.0652839180724147,-0.0798734855047995,-0.007932271154749837,-0.05823541809127423,-0.07570619204721515,-0.08179109318344524,-0.0070561997623598445
2024-01-10,-0.04989520618901933,-0.06528307646818803,-0.07984148810945679,-0.00793194986945984,-0.02489579972685373,-0.03391682191718609,-0.08300358943588669,-0.007342799521153082
2024-01-11,-0.04987889563164554,-0.06528223486396137,-0.07980949071411407,-0.007931628584169842,-0.03935692663298873,-0.04815412613646519,-0.09934294692215945,-0.007286749487659392
2024-01-12,-0.049862585074271756,-0.0652813932597347,-0.07977749331877135,-0.007931307298879845,-0.0455103479421195,-0.0571105481056184,-0.08827372426778646,-0.007179719463420051
2024-01-13,-0.04984627451689797,-0.06528055165550803,-0.07974549592342862,-0.007930986013589849,-0.03007010052017088,-0.03226735032812747,-0.09938608858468331,-0.0075552490078990365
2024-01-14,-0.05025439152941471,-0.06527971005128137,-0.0797134985280859,-0.007930664728299851,-0.05348100891722747,-0.06304650513370316,-0.09922475233071557,-0.007999092492415294
2024-01-15,-0.05022580391923907,-0.0652788684470547,-0.0796815011327432,-0.007930343443009854,-0.0287238889887639,-0.037198510614970086,-0.08331391109477619,-0.007852571163578488
2024-01-16,-0.05019721630906344,-0.06527802684282805,-0.07964950373740047,-0.007930022157719856,-0.030437395196570703,-0.038086409202900295,-0.0913663525186097,-0.008230882105561742
2024-01-17,-0.0501686286988878,-0.06527718523860138,-0.07961750634205775,-0.00792970087242986,-0.035989932598853365,-0.04513890328875024,-0.09132953242060961,-0.008289192264395177
2024-01-18,-0.05014004108871217,-0.0652763436343747,-0.07958550894671503,-0.007929379587139863,-0.04457839969012879,-0.053630657468758294,-0.0942708201508552,-0.00712364932316166
2024-01-19,-0.05011145347853654,-0.06527550203014805,-0.0795535115513723,-0.007929058301849866,-0.027965924585701074,-0.032277194957344296,-0.0982070241834858,-0.007522410244337409
2024-01-20,-0.0500828658683609,-0.06527466042592138,-0.0795215141560296,-0.007928737016559868,-0.0437019652560994,-0.05319612117854386,-0.0945099180213092,-0.007435936665976193
2024-01-21,-0.050054278258185265,-0.06527381882169472,-0.07948951676068687,-0.007928415731269872,-0.03922737443344947,-0.050322119894232305,-0.08480208065393845,-0.0073488478659093515
2024-01-22,-0.050025690648009644,-0.06527297721746804,-0.07945751936534413,-0.007928094445979871,-0.06828191592890798,-0.0845908477869878,-0.08599520797733272,-0.0074200457487566904
2024-01-23,-0.05000938009063586,-0.06525286524292169,-0.07967740452113253,-0.007923268712404055,-0.044285912029226986,-0.05576890596364581,-0.08572000914501447,-0.007944842514836787
2024-01-24,-0.04999306953326207,-0.06523275326837535,-0.0796658316181963,-0.007918442978828237,-0.02532691966060787,-0.029766397278553323,-0.09314469114631108,-0.007461999547156559
2024-01-25,-0.049976758975888276,-0.065212641293829,-0.07965425871526008,-0.00791361724525242,-0.046829377587623434,-0.061036721825096146,-0.09193587424846031,-0.007492673615381727
2024-01-26,-0.049960448418514485,-0.06519252931928265,-0.07964268581232384,-0.007908791511676604,-0.019065448348464024,-0.023807026435266904,-0.08983068826408871,-0.008203305788070499
2024-01-27,-0.0499441378611407,-0.06517241734473632,-0.07963111290938761,-0.007903965778100788,-0.04114708300720621,-0.05168975159288407,-0.09114458120190984,-0.0068679731877228315
2024-01-28,-0.049927827303766915,-0.06515230537018997,-0.07961954000645138,-0.007899140044524971,-0.04958479051239667,-0.06278276041112356,-0.08524103668241655,-0.0072603418517402365
2024-01-29,-0.049911516746393124,-0.06513219339564363,-0.07960796710351516,-0.007894314310949153,-0.036332263618482005,-0.04632143876351925,-0.08612343252017672,-0.007648876139140868
2024-01-30,-0.04989520618901933,-0.06511208142109728,-0.07959639420057893,-0.007889488577373337,-0.047192255670786824,-0.05833646063497842,-0.08953687873570632,-0.0073414653838282
