Date,BTC,ETH,SNT,EUR
01/12/2023,37688.39,2056.3575,0.04298485393,0.918895
30/11/2023,37854.66,2034.1386,0.04272904453,0.916445
29/11/2023,37832.67,2054.3649,0.04079520655,0.911845
28/11/2023,37241.07,2031.0736,0.04134694101,0.908905
27/11/2023,37451.29,2065.4992,0.04042646441,0.914655
26/11/2023,37777.78,2092.5085,0.04261934556,0.9133
25/11/2023,37705.65,2083.8261,0.04265396077,0.9133
24/11/2023,37317.25,2066.894,0.04277357605,0.914725
23/11/2023,37442.59,2066.3203,0.04077908643,0.9169
22/11/2023,35855.61,1947.0494,0.04038242695,0.92016
21/11/2023,37447.07,2025.9978,0.03779365777,0.91526
20/11/2023,37280.92,2012.9647,0.042820747,0.91372
19/11/2023,36540.04,1967.012,0.04201475078,0.91605
18/11/2023,36559.84,1965.2595,0.04116553633,0.91605
17/11/2023,36138.01,1966.9486,0.04223181156,0.919414
16/11/2023,37815.47,2061.4463,0.04305538099,0.92185
15/11/2023,35578,1986.2957,0.04510066825,0.92143
14/11/2023,36441.37,2057.6853,0.04411483498,0.920585
13/11/2023,37026.56,2047.2948,0.04650421121,0.934645
12/11/2023,37142.19,2057.42,0.04534818403,0.9333
11/11/2023,37326.84,2081.5555,0.04460129681,0.9333
10/11/2023,36657.35,2121.2387,0.04610378275,0.93717
09/11/2023,35586.65,1895.4462,0.04627808649,0.933489
08/11/2023,35338.35,1891.9098,0.04911419853,0.93352
07/11/2023,35004.43,1901.8883,0.04846116886,0.93582
06/11/2023,34939.54,1896.2604,0.04750041036,0.930685
05/11/2023,35070.6,1868.2766,0.05376813963,0.93145
04/11/2023,34694.69,1835.5706,0.05919337622,0.93145
03/11/2023,34849.98,1802.3235,0.05545896709,0.93158
02/11/2023,35478.24,1849.6457,0.05283821345,0.94222
01/11/2023,34600.02,1815.4356,0.05384551413,0.949345
31/10/2023,34465.02,1812.6568,0.05190828808,0.946445
30/10/2023,34545.59,1800.7909,0.0293395951,0.94289
29/10/2023,34068.78,1781.7403,0.02924899212,0.9453
28/10/2023,33899.7,1783.8743,0.02922471662,0.9453
27/10/2023,34132.8,1808.906,0.02863074672,0.94491
26/10/2023,34467.34,1788.9379,0.0291096418,0.949995
25/10/2023,33948.12,1786.6093,0.03006493879,0.945745
24/10/2023,33021.38,1767.8561,0.02807549176,0.944715
23/10/2023,29952.62,1670.5582,0.02776255981,0.938205
22/10/2023,29913.01,1634.7364,0.02653178302,0.94325
21/10/2023,29672.96,1610.9302,0.0271366319,0.94325
20/10/2023,28763.53,1575.2943,0.02648306736,0.9446
19/10/2023,28302.91,1570.2284,0.02521175606,0.94444
18/10/2023,28406.01,1573.6612,0.02535691538,0.949305
17/10/2023,28536.36,1603.3676,0.0264770292,0.944735
16/10/2023,27164.23,1573.5168,0.02532956056,0.948002
15/10/2023,26842.3,1568.7209,0.02498533918,0.95105
14/10/2023,26881.55,1564.6367,0.02400286344,0.95105
13/10/2023,26758.71,1549.3135,0.02354972563,0.951615
12/10/2023,26849.32,1570.2708,0.02307247083,0.947915
11/10/2023,27400.04,1574.8773,0.02278171473,0.942975
10/10/2023,27591.37,1584.5508,0.02349729296,0.9419
09/10/2023,27906.04,1644.4441,0.0235986958,0.94901
08/10/2023,27950.75,1644.2918,0.02411796063,0.94335
07/10/2023,27939.87,1649.9352,0.02419562696,0.94335
06/10/2023,27420.43,1620.1927,0.0244968744,0.945075
05/10/2023,27749.66,1651.6581,0.02308495443,0.949265
04/10/2023,27405.35,1661.9509,0.02326545492,0.95105
03/10/2023,27513.68,1654.7809,0.02353235261,0.956069
02/10/2023,27982.93,1702.9945,0.02327811905,0.953155
01/10/2023,26965.84,1660.7374,0.02433703383,0.9446
30/09/2023,26895.47,1668.9176,0.02357273155,0.9446
29/09/2023,27013.74,1654.6033,0.0238336234,0.945345
28/09/2023,26366.19,1601.2221,0.0234214698,0.94706
27/09/2023,26235.67,1599.4542,0.02290273415,0.952055
26/09/2023,26293.9,1592.4173,0.02248054666,0.94603
25/09/2023,26223.37,1586.3609,0.02255597687,0.944305
24/09/2023,26571.4,1605.2201,0.02253179201,0.93705
23/09/2023,26592.76,1602.2129,0.02341191326,0.93705
22/09/2023,26580.8,1590.0814,0.02287777865,0.9383
21/09/2023,27104.31,1625.3928,0.02250837427,0.937855
20/09/2023,27196.99,1649.0155,0.02295714823,0.931489
19/09/2023,26770.64,1642.774,0.02256755004,0.93603
18/09/2023,26534.11,1632.1718,0.02213789386,0.935425
17/09/2023,26557.8,1642.9641,0.02197126342,0.9369
16/09/2023,26576.54,1646.6902,0.02236015554,0.9369
15/09/2023,26512.72,1629.7877,0.02246525958,0.937095
14/09/2023,26201.61,1612.4977,0.0219835274,0.93875
13/09/2023,25798.88,1595.4309,0.02156214402,0.931015
12/09/2023,25162.48,1552.332,0.02124652775,0.932565
11/09/2023,25843.59,1620.6674,0.0211963144,0.93024
10/09/2023,25893.9,1643.0558,0.02196587124,0.93355
09/09/2023,25903.21,1640.9434,0.02164457904,0.93355
08/09/2023,26234.64,1649.4873,0.02161458407,0.9343
07/09/2023,25757.98,1635.3123,0.02160843408,0.933965
06/09/2023,25773.01,1637.5757,0.02147668637,0.932965
05/09/2023,25832.11,1635.1747,0.02154003469,0.931945
04/09/2023,25958.07,1640.6107,0.02154552481,0.926484
03/09/2023,25859.24,1633.4577,0.02142923807,0.9263
02/09/2023,25795.04,1630.7722,0.02144585168,0.9263
01/09/2023,25966.92,1650.0819,0.02107730722,0.92725
31/08/2023,27290.07,1707.9015,0.0213433826,0.922285
30/08/2023,27724.97,1732.387,0.02202610792,0.91551
29/08/2023,26110,1656.1741,0.02246990027,0.920938
28/08/2023,26065.04,1661.9119,0.02173960725,0.92505
27/08/2023,26007.35,1653.1053,0.02196381229,0.9264
26/08/2023,26054.64,1657.7255,0.02230006372,0.9264
25/08/2023,26180.1,1664.9809,0.02182820251,0.92641
24/08/2023,26450.06,1680.7469,0.02192109812,0.924165
23/08/2023,26122.54,1639.6381,0.02225866289,0.920275
22/08/2023,26134.05,1677.0058,0.02179803047,0.92178
21/08/2023,26182.79,1688.1358,0.02251816907,0.917385
20/08/2023,26085.18,1678.5526,0.0231187221,0.9184
19/08/2023,26069.23,1674.3385,0.02177088104,0.9184
18/08/2023,26659.85,1693.2586,0.02137167622,0.919875
17/08/2023,28764.02,1810.3227,0.02111260399,0.91942
16/08/2023,29201.98,1830.311,0.02269083542,0.91837
15/08/2023,29421.04,1843.2767,0.02429899177,0.915885
14/08/2023,29295.94,1840.4269,0.02525138139,0.914704
13/08/2023,29430.17,1847.7789,0.02521591981,0.9121
12/08/2023,29420.67,1848.8932,0.02586601094,0.9121
11/08/2023,29452.84,1851.9433,0.02572205868,0.913145
10/08/2023,29576.05,1856.5643,0.02582544644,0.907894
09/08/2023,29814.01,1858.2205,0.026094128,0.91105
08/08/2023,29214.05,1830.5321,0.02576750391,0.913385
07/08/2023,29088.91,1863.2023,0.02506214329,0.90895
